"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb144700",0.777195986826924,10,"Yes","0.7394978,0.2610737,0.1636214,0.4300037,0.6562309,0.4713631,0.4155177,0.4569799,0.653194,0.7802854"
"Zm00001eb400790",0.7774979,1,"No","0.7774979"
"Zm00001eb375070",0.7780611,1,"No","0.7780611"
"Zm00001eb327140",0.7783278,1,"No","0.7783278"
"Zm00001eb176420",0.7787243,1,"No","0.7787243"
"Zm00001eb386990",0.7806313568159,3,"Yes","0.273835,0.7237759,0.8888485"
"Zm00001eb214570",0.780750766555368,6,"Yes","0.1497573,0.9629304,0.8183,0.7430319,0.3060959,0.7987103"
"Zm00001eb204640",0.781197729117882,14,"Yes","0.4170275,0.4393706,0.4429858,0.7065324,0.1644227,0.3089751,0.585578,0.4128817,0.485149,0.305246,0.463955,0.8225085,0.6304189,0.9799252"
"Zm00001eb038370",0.7818637,1,"No","0.7818637"
"Zm00001eb250240",0.7826932,1,"No","0.7826932"
"Zm00001eb290580",0.783248,1,"No","0.783248"
"Zm00001eb187090",0.7840776,1,"No","0.7840776"
"Zm00001eb002180",0.7841454,1,"No","0.7841454"
"Zm00001eb030800",0.784613008655276,3,"Yes","0.959553,0.6043642,0.3592335"
"Zm00001eb097570",0.7850199,1,"No","0.7850199"
"Zm00001eb205250",0.785040740853785,5,"Yes","0.5436507,0.4381915,0.8823298,0.4539361,0.9862055"
"Zm00001eb253220",0.7856586,1,"No","0.7856586"
"Zm00001eb111790",0.785865,1,"No","0.785865"
"Zm00001eb321010",0.78754709347812,6,"Yes","0.4114269,0.6838525,0.9134903,0.165186,0.497235,0.4737088"
"Zm00001eb255570",0.7881475,1,"No","0.7881475"
"Zm00001eb032060",0.78862294897985,3,"Yes","0.7323249,0.6788815,0.2839804"
"Zm00001eb231730",0.7887051,1,"No","0.7887051"
"Zm00001eb073760",0.788744424168008,13,"Yes","0.3477159,0.402804,0.6677192,0.2818905,0.7922069,0.3764075,0.9375156,0.5858612,0.890195,0.06890097,0.3652695,0.7083517,0.5298896"
"Zm00001eb158160",0.789070379634928,10,"Yes","0.6648437,0.3983866,0.2702454,0.9972931,0.2534779,0.7268883,0.8015297,0.545884,0.4488999,0.345555"
"Zm00001eb054280",0.7893331,1,"No","0.7893331"
"Zm00001eb159540",0.7897145,1,"No","0.7897145"
"Zm00001eb301130",0.789865546017734,10,"Yes","0.5249055,0.4298823,0.1681979,0.2856368,0.5275061,0.09817546,0.989619,0.8776657,0.79808,0.9688489"
"Zm00001eb073540",0.790327724784644,7,"Yes","0.7754904,0.4984466,0.2712543,0.5143521,0.9463096,0.5368484,0.3884022"
"Zm00001eb362590",0.7905017,1,"No","0.7905017"
"Zm00001eb148620",0.7908622,1,"No","0.7908622"
"Zm00001eb319610",0.7911487,1,"No","0.7911487"
"Zm00001eb322360",0.792157181538004,5,"Yes","0.6385305,0.6568744,0.4265977,0.1678192,0.7709207"
"Zm00001eb052080",0.7922479,1,"No","0.7922479"
"Zm00001eb337340",0.7926486,1,"No","0.7926486"
"Zm00001eb433000",0.793084917170594,5,"Yes","0.3679172,0.5569396,0.4218178,0.8238055,0.9996265"
"Zm00001eb203230",0.793615612553986,5,"Yes","0.6266196,0.7409702,0.6935059,0.3362169,0.3659799"
"Zm00001eb118980",0.793983075702086,4,"Yes","0.2386846,0.8739712,0.9559522,0.8322265"
"Zm00001eb299160",0.7940039,1,"No","0.7940039"
"Zm00001eb017130",0.7941572,1,"No","0.7941572"
"Zm00001eb070330",0.794434468014309,10,"Yes","0.5495041,0.1713741,0.1521321,0.6731473,0.5126339,0.7064676,0.3560609,0.4087764,0.9085957,0.5987881"
"Zm00001eb034080",0.794629830234717,6,"Yes","0.6462677,0.3987039,0.3987039,0.4774752,0.8488797,0.5011452"
"Zm00001eb168790",0.7955187,1,"No","0.7955187"
"Zm00001eb431210",0.796385491416335,3,"Yes","0.2877389,0.7122141,0.6363223"
"Zm00001eb160590",0.79657507404659,7,"Yes","0.5177221,0.2856325,0.2311431,0.8198036,0.5932169,0.3886228,0.701022"
"Zm00001eb143970",0.7972137,1,"No","0.7972137"
"Zm00001eb334310",0.7975261,1,"No","0.7975261"
"Zm00001eb400350",0.7979203,1,"No","0.7979203"
"Zm00001eb125820",0.7982686,1,"No","0.7982686"
"Zm00001eb039570",0.7986054,1,"No","0.7986054"
"Zm00001eb398930",0.7988551,1,"No","0.7988551"
"Zm00001eb253180",0.7994035,1,"No","0.7994035"
"Zm00001eb251690",0.799623,1,"No","0.799623"
"Zm00001eb320570",0.8007009,1,"No","0.8007009"
"Zm00001eb374580",0.800944912959153,9,"Yes","0.6131548,0.5828507,0.7880045,0.6525265,0.3036756,0.1148356,0.1921304,0.8712066,0.8173512"
"Zm00001eb254150",0.8018484,1,"No","0.8018484"
"Zm00001eb215230",0.8018595,1,"No","0.8018595"
"Zm00001eb112550",0.8018824,1,"No","0.8018824"
"Zm00001eb334020",0.80195243885909,7,"Yes","0.1354285,0.5220534,0.3430918,0.8850796,0.4739751,0.5717717,0.5480202"
"Zm00001eb159790",0.8019689,1,"No","0.8019689"
"Zm00001eb230060",0.801978,1,"No","0.801978"
"Zm00001eb365010",0.8025888,1,"No","0.8025888"
"Zm00001eb155870",0.803181367231646,7,"Yes","0.3041028,0.490132,0.1301651,0.9258449,0.7717573,0.9381264,0.9980516"
"Zm00001eb304720",0.8033262,1,"No","0.8033262"
"Zm00001eb322370",0.8037316,1,"No","0.8037316"
"Zm00001eb012720",0.804002915571382,9,"Yes","0.543241,0.6023697,0.4756088,0.5068374,0.3321573,0.7755661,0.2751943,0.5072854,0.5712726"
"Zm00001eb360620",0.804038869931599,4,"Yes","0.4105303,0.5530883,0.6039082,0.4932612"
"Zm00001eb076500",0.8044289,1,"No","0.8044289"
"Zm00001eb178470",0.805277,1,"No","0.805277"
"Zm00001eb289580",0.8053095,1,"No","0.8053095"
"Zm00001eb375380",0.805313681615495,6,"Yes","0.2895338,0.5703179,0.3153863,0.520128,0.9813864,0.6657417"
"Zm00001eb110870",0.8061164,1,"No","0.8061164"
"Zm00001eb020780",0.806401788836853,3,"Yes","0.6253784,0.4462038,0.8041096"
"Zm00001eb319010",0.8065366,1,"No","0.8065366"
"Zm00001eb062340",0.8068044,1,"No","0.8068044"
"Zm00001eb218860",0.8072841,1,"No","0.8072841"
"Zm00001eb400760",0.8078196,1,"No","0.8078196"
"Zm00001eb159440",0.807857439066902,5,"Yes","0.6612255,0.760788,0.5374672,0.5564892,0.2091032"
"Zm00001eb167130",0.808151886847629,3,"Yes","0.8308718,0.3069388,0.8498994"
"Zm00001eb012300",0.8082415,1,"No","0.8082415"
"Zm00001eb014020",0.808494,1,"No","0.808494"
"Zm00001eb014030",0.808494,1,"No","0.808494"
"Zm00001eb345450",0.8100039,1,"No","0.8100039"
"Zm00001eb306630",0.81023634481058,3,"Yes","0.874525,0.701627,0.3243198"
"Zm00001eb111170",0.810263664084676,15,"Yes","0.5307149,0.4390103,0.9477474,0.4103181,0.4825174,0.4500157,0.1147807,0.644401,0.7415271,0.5174684,0.9312194,0.2821525,0.2837394,0.1754106,0.8562499"
"Zm00001eb217080",0.8103377,1,"No","0.8103377"
"Zm00001eb432730",0.810420413483373,7,"Yes","0.3852298,0.4900268,0.7995255,0.5994302,0.8557464,0.1431438,0.5268344"
"Zm00001eb216400",0.811355906344268,7,"Yes","0.1298567,0.6894985,0.6090755,0.5805265,0.9527295,0.8454952,0.6725224"
"Zm00001eb070730",0.812393788755026,18,"Yes","0.6618624,0.965148,0.5741816,0.333502,0.5963969,0.4458742,0.5647495,0.9640757,0.9588397,0.4204443,0.3210955,0.5593181,0.4621953,0.2525369,0.4386705,0.4703149,0.2619185,0.4468088"
"Zm00001eb365660",0.812503056119958,13,"Yes","0.2580415,0.2725622,0.6059293,0.6140667,0.4885548,0.2805043,0.1218874,0.4929471,0.7837683,0.4586879,0.9826112,0.7359736,0.4531828"
"Zm00001eb079270",0.813042752708563,5,"Yes","0.9800835,0.9584354,0.5930461,0.4556051,0.5748"
"Zm00001eb093540",0.8132579,1,"No","0.8132579"
"Zm00001eb253900",0.813258133627803,5,"Yes","0.4304624,0.5847256,0.5615332,0.5306113,0.8180502"
"Zm00001eb317200",0.8136725,1,"No","0.8136725"
"Zm00001eb210460",0.8151798,1,"No","0.8151798"
"Zm00001eb125210",0.8157375,1,"No","0.8157375"
"Zm00001eb158870",0.8163775,1,"No","0.8163775"
"Zm00001eb321720",0.816595465581824,3,"Yes","0.632144,0.5771878,0.8986677"
"Zm00001eb036840",0.817229869509069,3,"Yes","0.649566,0.582408,0.6674481"
"Zm00001eb217240",0.8181207,1,"No","0.8181207"
"Zm00001eb361760",0.818583825524715,3,"Yes","0.8186911,0.8174107,0.3044376"
"Zm00001eb165950",0.818698513923899,6,"Yes","0.4833326,0.5059644,0.4641507,0.2347723,0.9481481,0.7621371"
"Zm00001eb426330",0.820002745667638,17,"Yes","0.553573,0.1415772,0.6635047,0.6813886,0.8517275,0.167132,0.5760489,0.6304845,0.9493522,0.3408621,0.7888468,0.3682096,0.9984891,0.2077105,0.6966487,0.295303,0.3031053"
"Zm00001eb288120",0.820281417439535,8,"Yes","0.4053738,0.8858218,0.4718756,0.4004716,0.616884,0.4085356,0.7775278,0.7365096"
"Zm00001eb004940",0.8203484,1,"No","0.8203484"
"Zm00001eb278690",0.8210313,1,"No","0.8210313"
"Zm00001eb191910",0.8218769,1,"No","0.8218769"
"Zm00001eb389580",0.8226467,1,"No","0.8226467"
"Zm00001eb059050",0.8246567,1,"No","0.8246567"
"Zm00001eb380180",0.8250844,1,"No","0.8250844"
"Zm00001eb026200",0.8255585,1,"No","0.8255585"
"Zm00001eb187620",0.8266463,1,"No","0.8266463"
"Zm00001eb194980",0.827965004366844,3,"Yes","0.7451644,0.6465917,0.4265316"
"Zm00001eb228660",0.8284207,1,"No","0.8284207"
"Zm00001eb265890",0.829781729527879,12,"Yes","0.4702678,0.2086013,0.9057504,0.865978,0.8231825,0.5000731,0.3070294,0.4144178,0.5204122,0.8862413,0.3852161,0.3160519"
"Zm00001eb397220",0.8304876,1,"No","0.8304876"
"Zm00001eb088180",0.8307124,1,"No","0.8307124"
"Zm00001eb253700",0.830894614759101,9,"Yes","0.9536304,0.8921261,0.1088677,0.301676,0.5331227,0.2276699,0.6471031,0.6519405,0.8783678"
"Zm00001eb114530",0.8311215,1,"No","0.8311215"
"Zm00001eb276970",0.831352,1,"No","0.831352"
"Zm00001eb105340",0.831726384765778,3,"Yes","0.6468647,0.6937728,0.4266472"
"Zm00001eb111290",0.832405985741352,3,"Yes","0.6340046,0.8301236,0.6472651"
"Zm00001eb003540",0.8328171,1,"No","0.8328171"
"Zm00001eb289340",0.833387035842818,8,"Yes","0.6794687,0.2457762,0.5079671,0.4895049,0.489552,0.8216618,0.7908538,0.2013688"
"Zm00001eb400300",0.836242635427963,14,"Yes","0.2645998,0.5903351,0.923708,0.7040758,0.9802144,0.9835886,0.938815,0.6741818,0.1306906,0.2478598,0.2874399,0.3284706,0.6897365,0.4581787"
"Zm00001eb067190",0.8364081,1,"No","0.8364081"
"Zm00001eb138630",0.8365616,1,"No","0.8365616"
"Zm00001eb288770",0.8369442,1,"No","0.8369442"
"Zm00001eb108060",0.837237173082533,8,"Yes","0.9858912,0.9062847,0.1448567,0.8771205,0.684529,0.2360085,0.8771713,0.7239854"
"Zm00001eb252050",0.837338744726651,3,"Yes","0.9185159,0.3232679,0.84128"
"Zm00001eb363300",0.8377517,1,"No","0.8377517"
"Zm00001eb376250",0.838110844466002,9,"Yes","0.6587691,0.8800952,0.2793836,0.4143217,0.2161929,0.3870919,0.5262684,0.8261495,0.968654"
"Zm00001eb290760",0.838868181324425,9,"Yes","0.7620948,0.6609899,0.8486782,0.5262425,0.4471713,0.3534186,0.3155647,0.6471205,0.4493257"
"Zm00001eb398430",0.838880421311618,8,"Yes","0.124763,0.8137479,0.8341642,0.2847656,0.7103207,0.7338608,0.4797549,0.6154164"
"Zm00001eb304730",0.8392439,1,"No","0.8392439"
"Zm00001eb074380",0.839267875918877,8,"Yes","0.3074043,0.3680552,0.3396226,0.9139144,0.5791706,0.9469879,0.5599807,0.5428699"
"Zm00001eb290110",0.8396158,1,"No","0.8396158"
"Zm00001eb190230",0.8407072,1,"No","0.8407072"
"Zm00001eb311950",0.8407159,1,"No","0.8407159"
"Zm00001eb000830",0.840738121116062,3,"Yes","0.7013269,0.7219515,0.3243725"
"Zm00001eb385030",0.8414442,1,"No","0.8414442"
"Zm00001eb045370",0.8415254,1,"No","0.8415254"
"Zm00001eb150150",0.841616,1,"No","0.841616"
"Zm00001eb408290",0.842097682239808,9,"Yes","0.8689265,0.8164938,0.432614,0.12103,0.6881534,0.6881534,0.5306989,0.4446373,0.2321014"
"Zm00001eb381210",0.842857681943733,5,"Yes","0.5911376,0.8749647,0.4164524,0.8312801,0.478537"
"Zm00001eb039660",0.842878762833565,3,"Yes","0.326247,0.692586,0.7161837"
"Zm00001eb076050",0.8429158,1,"No","0.8429158"
"Zm00001eb003880",0.8436221,1,"No","0.8436221"
"Zm00001eb154300",0.8436746,1,"No","0.8436746"
"Zm00001eb118970",0.846592145772864,3,"Yes","0.6610471,0.7573635,0.6524537"
"Zm00001eb252630",0.847133702687392,5,"Yes","0.8906405,0.3336366,0.7798754,0.3938521,0.9322571"
"Zm00001eb360560",0.8476216,1,"No","0.8476216"
"Zm00001eb284430",0.8480197,1,"No","0.8480197"
"Zm00001eb014990",0.8483976,1,"No","0.8483976"
"Zm00001eb148070",0.848867351830197,7,"Yes","0.7691695,0.4354607,0.3401362,0.5636552,0.6852783,0.3378931,0.7684759"
"Zm00001eb212170",0.849777539586356,5,"Yes","0.7718659,0.1937158,0.7693656,0.5981313,0.6254377"
"Zm00001eb112050",0.8506013,1,"No","0.8506013"
"Zm00001eb158780",0.8522056,1,"No","0.8522056"
"Zm00001eb285140",0.852384632319683,11,"Yes","0.2765196,0.3429895,0.4694785,0.6525665,0.960822,0.8517587,0.6253615,0.5778734,0.2611652,0.7712692,0.2511821"
"Zm00001eb324690",0.8538756,1,"No","0.8538756"
"Zm00001eb170740",0.853959,1,"No","0.853959"
"Zm00001eb332580",0.854014613790561,9,"Yes","0.7415094,0.5417127,0.9462398,0.8932739,0.2743895,0.63295,0.3314008,0.3455625,0.5355166"
"Zm00001eb151670",0.8556227,1,"No","0.8556227"
"Zm00001eb111000",0.8561916,1,"No","0.8561916"
"Zm00001eb054630",0.8578948,1,"No","0.8578948"
"Zm00001eb052180",0.8591215,1,"No","0.8591215"
"Zm00001eb177630",0.8597998,1,"No","0.8597998"
"Zm00001eb019770",0.8604759,1,"No","0.8604759"
"Zm00001eb040580",0.8607058,1,"No","0.8607058"
"Zm00001eb283950",0.8609704,1,"No","0.8609704"
"Zm00001eb150790",0.8610755,1,"No","0.8610755"
"Zm00001eb047190",0.8616419,1,"No","0.8616419"
"Zm00001eb242120",0.8627577,1,"No","0.8627577"
"Zm00001eb192500",0.8645761,1,"No","0.8645761"
"Zm00001eb424050",0.8662833,1,"No","0.8662833"
"Zm00001eb215820",0.866828566812077,13,"Yes","0.29682,0.5167038,0.145936,0.7736756,0.7919606,0.1325882,0.8178093,0.9021271,0.7126209,0.6622747,0.4910108,0.9404685,0.863909"
"Zm00001eb062000",0.866906577558542,14,"Yes","0.8492948,0.7660197,0.8184837,0.8604401,0.6251703,0.786707,0.3411806,0.4274799,0.2314681,0.3522403,0.09713623,0.696419,0.9994194,0.2053587"
"Zm00001eb140760",0.8673666,1,"No","0.8673666"
"Zm00001eb282890",0.8674582,1,"No","0.8674582"
"Zm00001eb093260",0.8677407,1,"No","0.8677407"
"Zm00001eb389450",0.8678261,1,"No","0.8678261"
"Zm00001eb287260",0.867941,1,"No","0.867941"
"Zm00001eb145070",0.868326,1,"No","0.868326"
"Zm00001eb012020",0.8683547,1,"No","0.8683547"
"Zm00001eb177520",0.8687507,1,"No","0.8687507"
"Zm00001eb243060",0.8693531,1,"No","0.8693531"
"Zm00001eb000970",0.8694035,1,"No","0.8694035"
"Zm00001eb096180",0.8694439,1,"No","0.8694439"
"Zm00001eb200030",0.8724461,1,"No","0.8724461"
"Zm00001eb254040",0.8725558,1,"No","0.8725558"
"Zm00001eb130250",0.8752065,1,"No","0.8752065"
"Zm00001eb228290",0.8770009,1,"No","0.8770009"
"Zm00001eb364590",0.8778353,1,"No","0.8778353"
"Zm00001eb105130",0.8794098,1,"No","0.8794098"
"Zm00001eb346680",0.8807313,1,"No","0.8807313"
"Zm00001eb081280",0.8807395,1,"No","0.8807395"
"Zm00001eb399170",0.881099,1,"No","0.881099"
"Zm00001eb110050",0.8826659,1,"No","0.8826659"
"Zm00001eb333830",0.8828635,1,"No","0.8828635"
"Zm00001eb333040",0.88316781190949,9,"Yes","0.5552094,0.3737781,0.6260504,0.6089154,0.8548706,0.2458554,0.5863522,0.5015849,0.5415982"
"Zm00001eb276470",0.8834873,1,"No","0.8834873"
"Zm00001eb319660",0.8835434,1,"No","0.8835434"
"Zm00001eb212260",0.883665951302248,14,"Yes","0.8503172,0.3554904,0.3455124,0.8274881,0.9434635,0.4229894,0.7371213,0.1436125,0.3125183,0.8183334,0.5619676,0.1385342,0.971263,0.5067134"
"Zm00001eb325930",0.885625,1,"No","0.885625"
"Zm00001eb019480",0.8869042,1,"No","0.8869042"
"Zm00001eb146500",0.8886974,1,"No","0.8886974"
"Zm00001eb068580",0.8896502,1,"No","0.8896502"
"Zm00001eb139940",0.8908803,1,"No","0.8908803"
"Zm00001eb103750",0.8909325,1,"No","0.8909325"
"Zm00001eb213190",0.8926075,1,"No","0.8926075"
"Zm00001eb151610",0.892622683166297,23,"Yes","0.5929375,0.9363639,0.3765727,0.5457561,0.9936311,0.4734156,0.4135438,0.4734156,0.7603584,0.2432928,0.8331588,0.6187151,0.08262183,0.8105256,0.6428564,0.4700834,0.3286663,0.3136399,0.5710925,0.05712731,0.7039309,0.6624136,0.3138169"
"Zm00001eb111800",0.8926232,1,"No","0.8926232"
"Zm00001eb003670",0.8935651,1,"No","0.8935651"
"Zm00001eb140670",0.8939156,1,"No","0.8939156"
"Zm00001eb142810",0.896439,1,"No","0.896439"
"Zm00001eb059040",0.8967656,1,"No","0.8967656"
"Zm00001eb415070",0.8975527,1,"No","0.8975527"
"Zm00001eb251290",0.898352,1,"No","0.898352"
"Zm00001eb197160",0.9007051,1,"No","0.9007051"
"Zm00001eb021660",0.901334,1,"No","0.901334"
"Zm00001eb248320",0.9021316,1,"No","0.9021316"
"Zm00001eb181120",0.9023976,1,"No","0.9023976"
"Zm00001eb160530",0.9027222,1,"No","0.9027222"
"Zm00001eb060840",0.9034014,1,"No","0.9034014"
"Zm00001eb290460",0.9047614,1,"No","0.9047614"
"Zm00001eb051860",0.9051247,1,"No","0.9051247"
"Zm00001eb395310",0.9051667,1,"No","0.9051667"
"Zm00001eb066940",0.9066403,1,"No","0.9066403"
"Zm00001eb195530",0.9085926,1,"No","0.9085926"
"Zm00001eb365910",0.9092824,1,"No","0.9092824"
"Zm00001eb053160",0.9099318,1,"No","0.9099318"
"Zm00001eb073990",0.910221,1,"No","0.910221"
"Zm00001eb204720",0.9104153,1,"No","0.9104153"
"Zm00001eb216050",0.9108965,1,"No","0.9108965"
"Zm00001eb216060",0.9108965,1,"No","0.9108965"
"Zm00001eb414810",0.9110078,1,"No","0.9110078"
"Zm00001eb213330",0.9112619,1,"No","0.9112619"
"Zm00001eb178620",0.9130034,1,"No","0.9130034"
"Zm00001eb004420",0.9133729,1,"No","0.9133729"
"Zm00001eb166800",0.9136463,1,"No","0.9136463"
"Zm00001eb124120",0.9149227,1,"No","0.9149227"
"Zm00001eb235530",0.9151392,1,"No","0.9151392"
"Zm00001eb405380",0.9154034,1,"No","0.9154034"
"Zm00001eb410060",0.9159129,1,"No","0.9159129"
"Zm00001eb195420",0.9161582,1,"No","0.9161582"
"Zm00001eb334440",0.9162969,1,"No","0.9162969"
"Zm00001eb127670",0.9164973,1,"No","0.9164973"
"Zm00001eb417110",0.9195449,1,"No","0.9195449"
"Zm00001eb227040",0.9196544,1,"No","0.9196544"
"Zm00001eb355950",0.9202987,1,"No","0.9202987"
"Zm00001eb253230",0.9217147,1,"No","0.9217147"
"Zm00001eb160190",0.9234512,1,"No","0.9234512"
"Zm00001eb275240",0.9255794,1,"No","0.9255794"
"Zm00001eb108100",0.9259869,1,"No","0.9259869"
"Zm00001eb205120",0.92606,1,"No","0.92606"
"Zm00001eb351500",0.9262329,1,"No","0.9262329"
"Zm00001eb321510",0.9272254,1,"No","0.9272254"
"Zm00001eb178800",0.9272313,1,"No","0.9272313"
"Zm00001eb107640",0.9285011,1,"No","0.9285011"
"Zm00001eb091250",0.9294713,1,"No","0.9294713"
"Zm00001eb059850",0.9299103,1,"No","0.9299103"
"Zm00001eb015910",0.9307349,1,"No","0.9307349"
"Zm00001eb252420",0.9308829,1,"No","0.9308829"
"Zm00001eb433480",0.9310525,1,"No","0.9310525"
"Zm00001eb104430",0.931563,1,"No","0.931563"
"Zm00001eb012320",0.931695,1,"No","0.931695"
"Zm00001eb244390",0.9319769,1,"No","0.9319769"
"Zm00001eb202790",0.9320449,1,"No","0.9320449"
"Zm00001eb020350",0.9323944,1,"No","0.9323944"
"Zm00001eb113880",0.9351931,1,"No","0.9351931"
"Zm00001eb054420",0.9390499,1,"No","0.9390499"
"Zm00001eb210610",0.9401114,1,"No","0.9401114"
"Zm00001eb308470",0.9407635,1,"No","0.9407635"
"Zm00001eb134000",0.9408614,1,"No","0.9408614"
"Zm00001eb016090",0.9437961,1,"No","0.9437961"
"Zm00001eb166960",0.9439512,1,"No","0.9439512"
"Zm00001eb387300",0.9446472,1,"No","0.9446472"
"Zm00001eb286430",0.9457895,1,"No","0.9457895"
"Zm00001eb188980",0.946429,1,"No","0.946429"
"Zm00001eb013360",0.9482185,1,"No","0.9482185"
"Zm00001eb154390",0.9491931,1,"No","0.9491931"
"Zm00001eb431960",0.9498595,1,"No","0.9498595"
"Zm00001eb248730",0.9521483,1,"No","0.9521483"
"Zm00001eb115770",0.9529135,1,"No","0.9529135"
"Zm00001eb251350",0.9539472,1,"No","0.9539472"
"Zm00001eb248370",0.954624,1,"No","0.954624"
"Zm00001eb413950",0.9547105,1,"No","0.9547105"
"Zm00001eb339140",0.9550324,1,"No","0.9550324"
"Zm00001eb273440",0.9561576,1,"No","0.9561576"
"Zm00001eb248840",0.9561961,1,"No","0.9561961"
"Zm00001eb248660",0.9585759,1,"No","0.9585759"
"Zm00001eb430470",0.9598331,1,"No","0.9598331"
"Zm00001eb278210",0.960106,1,"No","0.960106"
"Zm00001eb130340",0.9601732,1,"No","0.9601732"
"Zm00001eb015470",0.9607676,1,"No","0.9607676"
"Zm00001eb154960",0.9613525,1,"No","0.9613525"
"Zm00001eb174450",0.9618538,1,"No","0.9618538"
"Zm00001eb427660",0.9636763,1,"No","0.9636763"
"Zm00001eb151170",0.9662702,1,"No","0.9662702"
"Zm00001eb340330",0.9663166,1,"No","0.9663166"
"Zm00001eb428810",0.9668014,1,"No","0.9668014"
"Zm00001eb217340",0.9672933,1,"No","0.9672933"
"Zm00001eb286650",0.9698975,1,"No","0.9698975"
"Zm00001eb371720",0.9711573,1,"No","0.9711573"
"Zm00001eb000740",0.9743174,1,"No","0.9743174"
"Zm00001eb000750",0.9743174,1,"No","0.9743174"
"Zm00001eb165560",0.9747868,1,"No","0.9747868"
"Zm00001eb165570",0.9747868,1,"No","0.9747868"
"Zm00001eb091460",0.9748854,1,"No","0.9748854"
"Zm00001eb000920",0.9754241,1,"No","0.9754241"
"Zm00001eb377480",0.9755477,1,"No","0.9755477"
"Zm00001eb324780",0.975764,1,"No","0.975764"
"Zm00001eb004250",0.9769666,1,"No","0.9769666"
"Zm00001eb408810",0.9773072,1,"No","0.9773072"
"Zm00001eb034200",0.9777406,1,"No","0.9777406"
"Zm00001eb154770",0.9787914,1,"No","0.9787914"
"Zm00001eb326030",0.9790527,1,"No","0.9790527"
"Zm00001eb198560",0.9798154,1,"No","0.9798154"
"Zm00001eb133930",0.9798402,1,"No","0.9798402"
"Zm00001eb060800",0.9799488,1,"No","0.9799488"
"Zm00001eb038360",0.9800635,1,"No","0.9800635"
"Zm00001eb079510",0.9803973,1,"No","0.9803973"
"Zm00001eb344900",0.9811217,1,"No","0.9811217"
"Zm00001eb009310",0.9827901,1,"No","0.9827901"
"Zm00001eb051360",0.9828611,1,"No","0.9828611"
"Zm00001eb136360",0.9837633,1,"No","0.9837633"
"Zm00001eb398380",0.9844047,1,"No","0.9844047"
"Zm00001eb323740",0.9847412,1,"No","0.9847412"
"Zm00001eb378600",0.9856263,1,"No","0.9856263"
"Zm00001eb374460",0.9879936,1,"No","0.9879936"
"Zm00001eb250370",0.9880572,1,"No","0.9880572"
"Zm00001eb281510",0.9883855,1,"No","0.9883855"
"Zm00001eb100030",0.9908124,1,"No","0.9908124"
"Zm00001eb096480",0.9912704,1,"No","0.9912704"
"Zm00001eb186280",0.9915855,1,"No","0.9915855"
"Zm00001eb322620",0.9920859,1,"No","0.9920859"
"Zm00001eb303500",0.9932684,1,"No","0.9932684"
"Zm00001eb324750",0.9933224,1,"No","0.9933224"
"Zm00001eb241800",0.9935052,1,"No","0.9935052"
"Zm00001eb315340",0.9951751,1,"No","0.9951751"
"Zm00001eb317900",0.9956145,1,"No","0.9956145"
"Zm00001eb268050",0.9969872,1,"No","0.9969872"
"Zm00001eb036380",0.9972312,1,"No","0.9972312"
"Zm00001eb104990",0.998769,1,"No","0.998769"
"Zm00001eb000670",1,2,"Yes","0.3857636,0.9569719"
"Zm00001eb000720",1,7,"Yes","0.7084711,0.8785286,0.8785286,0.8785286,0.8636916,0.8711338,0.8785286"
"Zm00001eb001480",1,2,"Yes","0.3634068,0.3634068"
"Zm00001eb001510",1,3,"Yes","0.3889721,0.7512704,0.9451394"
"Zm00001eb002540",1,4,"Yes","0.7943968,0.8888261,0.846068,0.6881135"
"Zm00001eb002620",1,2,"Yes","0.903668,0.8840603"
"Zm00001eb002880",1,9,"Yes","0.745079,0.4915792,0.9513925,0.4223663,0.5336977,0.833929,0.7650785,0.7638163,0.3012883"
"Zm00001eb004290",1,2,"Yes","0.6317101,0.667917"
"Zm00001eb005030",1,2,"Yes","0.6739634,0.8977397"
"Zm00001eb005670",1,4,"Yes","0.8025667,0.8044938,0.4578267,0.9760153"
"Zm00001eb005710",1,5,"Yes","0.3423578,0.923601,0.8631978,0.5686006,0.3440797"
"Zm00001eb005770",1,2,"Yes","0.8647755,0.8980503"
"Zm00001eb006170",1,2,"Yes","0.8965216,0.583582"
"Zm00001eb006480",1,5,"Yes","0.3843816,0.4996299,0.2486218,0.5800253,0.662642"
"Zm00001eb006860",1,2,"Yes","0.9733508,0.8703532"
"Zm00001eb008280",1,6,"Yes","0.6432386,0.722558,0.7299937,0.8386267,0.7509069,0.5038116"
"Zm00001eb009810",1,2,"Yes","0.7370632,0.6105972"
"Zm00001eb009990",1,2,"Yes","0.3562268,0.2915678"
"Zm00001eb010040",1,2,"Yes","0.8449797,0.9309999"
"Zm00001eb010150",1,2,"Yes","0.8076366,0.6708738"
"Zm00001eb011940",1,2,"Yes","0.9489502,0.8672559"
"Zm00001eb012280",1,5,"Yes","0.6913563,0.771599,0.9723183,0.942895,0.6008829"
"Zm00001eb012370",1,2,"Yes","0.547828,0.7738105"
"Zm00001eb012460",1,4,"Yes","0.7210811,0.5577228,0.5825293,0.6071276"
"Zm00001eb013030",1,2,"Yes","0.6892974,0.9786791"
